image,gt_class_id,gt_class_name,gt_component_id,gt_area_px,inclusion_coverage,correct_class_coverage,dominant_pred_class_id,dominant_pred_class_name,dominant_ratio,correct_class_ratio,fragment_class_count,fragment_classes,matched_pred_component_id,matched_intersection_px,matched_pred_area_px,purity
0506tin1_1_30_crop_00.jpg,5,TINB/TINC,1,281,0.33807829181494664,0.021352313167259787,6,TIND,0.9368421052631579,0.06315789473684211,2,TINB/TINC|TIND,13,48,50,0.96
0506tin1_1_30_crop_00.jpg,6,TIND,1,60,0.8666666666666667,0.8666666666666667,6,TIND,1.0,1.0,1,TIND,1,52,61,0.8524590163934426
0506tin1_1_30_crop_00.jpg,6,TIND,2,99,0.7676767676767676,0.7676767676767676,6,TIND,1.0,1.0,1,TIND,2,76,83,0.9156626506024096
0506tin1_1_30_crop_00.jpg,6,TIND,3,157,0.8089171974522293,0.8089171974522293,6,TIND,1.0,1.0,1,TIND,3,127,137,0.927007299270073
0506tin1_1_30_crop_00.jpg,6,TIND,4,61,0.9508196721311475,0.9508196721311475,6,TIND,1.0,1.0,1,TIND,4,58,86,0.6744186046511628
0506tin1_1_30_crop_00.jpg,6,TIND,5,143,0.7902097902097902,0.7902097902097902,6,TIND,1.0,1.0,1,TIND,5,113,117,0.9658119658119658
0506tin1_1_30_crop_00.jpg,6,TIND,6,98,0.5612244897959183,0.5612244897959183,6,TIND,1.0,1.0,1,TIND,6,55,69,0.7971014492753623
0506tin1_1_30_crop_00.jpg,6,TIND,7,72,0.8333333333333334,0.8333333333333334,6,TIND,1.0,1.0,1,TIND,7,60,75,0.8
0506tin1_1_30_crop_00.jpg,6,TIND,8,39,0.8717948717948718,0.8717948717948718,6,TIND,1.0,1.0,1,TIND,8,34,74,0.4594594594594595
0506tin1_1_30_crop_00.jpg,6,TIND,9,112,0.8303571428571429,0.8303571428571429,6,TIND,1.0,1.0,1,TIND,9,93,119,0.7815126050420168
0506tin1_1_30_crop_00.jpg,6,TIND,10,80,0.675,0.675,6,TIND,1.0,1.0,1,TIND,14,54,68,0.7941176470588235
0506tin1_1_30_crop_00.jpg,6,TIND,11,87,0.9770114942528736,0.0,5,TINB/TINC,1.0,0.0,1,TINB/TINC,15,85,112,0.7589285714285714
0506tin1_1_30_crop_01.jpg,5,TINB/TINC,1,908,0.1486784140969163,0.09911894273127753,5,TINB/TINC,0.6666666666666666,0.6666666666666666,2,TINB/TINC|TIND,4,90,90,1.0
0506tin1_1_30_crop_01.jpg,5,TINB/TINC,2,1050,0.0,0.0,0,bg,0.0,0.0,0,,0,0,0,0.0
0506tin1_1_30_crop_01.jpg,5,TINB/TINC,3,539,0.44155844155844154,0.02411873840445269,6,TIND,0.9453781512605042,0.0546218487394958,2,TINB/TINC|TIND,6,142,143,0.993006993006993
0506tin1_1_32_crop_01.jpg,5,TINB/TINC,1,335,0.14328358208955225,0.14328358208955225,5,TINB/TINC,1.0,1.0,1,TINB/TINC,1,48,48,1.0
0506tin1_1_32_crop_01.jpg,5,TINB/TINC,2,400,0.9075,0.9075,5,TINB/TINC,1.0,1.0,1,TINB/TINC,3,363,402,0.9029850746268657
0506tin1_1_32_crop_01.jpg,5,TINB/TINC,3,828,0.8599033816425121,0.8599033816425121,5,TINB/TINC,1.0,1.0,1,TINB/TINC,4,712,806,0.8833746898263027
0506tin1_1_32_crop_01.jpg,5,TINB/TINC,4,875,0.0,0.0,0,bg,0.0,0.0,0,,0,0,0,0.0
0506tin1_1_32_crop_02.jpg,5,TINB/TINC,1,291,0.8900343642611683,0.8900343642611683,5,TINB/TINC,1.0,1.0,1,TINB/TINC,1,259,526,0.4923954372623574
