image,fp_type,component_id,area_px,x,y,w,h,majority_pred_class_id,majority_pred_class_name
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,1,9,404,33,5,4,6,TIND
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,2,3,418,134,1,3,6,TIND
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,3,4,412,146,4,2,6,TIND
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,6,8,407,164,3,7,6,TIND
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,7,6,650,197,2,6,6,TIND
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,8,14,646,201,3,12,6,TIND
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,9,8,650,207,2,6,6,TIND
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,11,3,890,229,1,3,6,TIND
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,12,11,416,368,5,4,6,TIND
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,13,3,421,374,1,3,6,TIND
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,14,11,418,416,4,7,6,TIND
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,15,3,426,419,1,3,6,TIND
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,17,23,674,591,4,11,6,TIND
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,18,17,670,593,3,10,6,TIND
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,19,8,415,609,5,4,6,TIND
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,20,18,422,610,4,12,6,TIND
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,21,49,891,768,7,9,6,TIND
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,22,64,666,773,5,15,6,TIND
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,23,2,416,779,1,2,6,TIND
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,24,14,666,936,2,8,6,TIND
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,25,12,665,993,5,4,5,TINB/TINC
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,26,4,669,998,1,4,5,TINB/TINC
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,27,2,664,1004,1,2,5,TINB/TINC
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,28,5,669,1004,1,5,5,TINB/TINC
0506tin1_1_30_crop_00.jpg,bg_to_strip_inclusion,29,4,664,1009,1,4,5,TINB/TINC
0506tin1_1_30_crop_01.jpg,bg_to_strip_inclusion,1,29,606,401,2,15,5,TINB/TINC
